category,question,gold_answer,acceptable_urls,distractor_urls,format,topics,partner_doc,lang,year,doc_type_raw,text_len,page_title,note
admissions,,,https://corsi.unitn.it/sites/cds/files/2026-04/scorrimento-20260429-ammissione-giurisprudenza-sessione1-2026-27.pdf,,pdf,admissions,,it,2026,pdf,1722,scorrimento-20260429-ammissione-giurisprudenza-sessione1-2026-27.pdf,
admissions,,,https://www.unitn.it/sites/default/files/2025-10/44494156Allegato%201_Bando%20Ammissione%20stud.zone%20conflitto%2025.pdf,,pdf,admissions,,it,2025,pdf,15004,44494156Allegato 1_Bando Ammissione stud.zone conflitto 25.pdf,
admissions,,,https://www.economia.unitn.it/alfresco/download/workspace/SpacesStore/b3660c50-f148-4ce0-a60c-50f148bce0a1/Graduatoria%20Erasmus%20DEM%202026-2027.pdf,,pdf,"admissions,mobility",,en,2026,pdf,21243,Graduatoria Erasmus DEM 2026-2027.pdf,
admissions,,,https://corsi.unitn.it/en/cognitive-science/enrollment/admission-non-europeans,,html,admissions,,en,2026,admissions,6274,Admission and enrollment for non-Europeans | Sito Corsi | UniTrento,
admissions,,,https://corsi.unitn.it/it/lettere-e-storia/iscriversi/trasferimento-e-ammissione-ad-anni-successivi,,html,admissions,,it,2026,admissions,2647,Trasferimento e ammissione ad anni successivi al primo | Lettere e Storia | UniTrento,
admissions,,,https://corsi.unitn.it/it/medicina-e-chirurgia/iscriversi/trasferimento-e-ammissione-ad-anni-successivi,,html,admissions,,it,2026,admissions,2055,Trasferimento e ammissione ad anni successivi al primo | Medicina e chirurgia | UniTrento,
admissions,,,https://www.cla.unitn.it/601/scheda-iscrizioni-dipartimento-di-psicologia-e-scienze-cognitive,,html,"admissions,services",,it,2026,service,845,scheda iscrizioni - Dipartimento di Psicologia e Scienze Cognitive | Centro Linguistico di,
admissions,,,https://corsi.unitn.it/it/letterature-euroamericane-traduzione-e-critica-letteraria/iscriversi/ammissione-e-immatricolazione,,html,admissions,,it,2026,admissions,6067,"Ammissione e immatricolazione | Letterature euroamericane, traduzione e critica letteraria",
tuition,,,https://corsi.unitn.it/sites/cds/files/2025-02/certificati-esonero-esercitazioni-l-lingue-moderne.pdf,,pdf,tuition,,it,2025,pdf,3240,certificati-esonero-esercitazioni-l-lingue-moderne.pdf,
tuition,,,https://www.unitn.it/sites/default/files/2024-11/Scholarship%20and%20Tuition%20Fee%20Regulation%20for%20Non-EU%20Students.pdf,,pdf,"tuition,scholarship",,en,2024,pdf,12659,Scholarship and Tuition Fee Regulation for Non-EU Students.pdf,
tuition,,,https://www.unitn.it/it/studiare/tasse-borse-alloggi/tasse/cittadini-europei-ed-equivalenti,,html,tuition,,it,2026,tuition,1592,Importi delle tasse per persone con cittadinanza di paesi europei ed equivalenti | UniTren,
tuition,,,https://www.unitn.it/it/studiare/tasse-borse-alloggi/tasse/cittadini-non-europei/lauree-magistrali-italiano,,html,tuition,,it,2025,tuition,1310,Importo delle tasse per le lauree magistrali in lingua italiana | UniTrento,
