category,question,gold_answer,acceptable_urls,lang,year,doc_type,text_len,page_title,note
admissions,,,https://www.unitn.it/en/international/coming-unitrento/admission-how-it-works/admission-process,en,2026,admissions,1809,Admission process | UniTrento,
admissions,,,https://www.unitn.it/en/international/coming-unitrento/admission-how-it-works/invest-your-talent-programme,en,2026,admissions,1036,Invest your Talent in Italy Programme | UniTrento,
admissions,,,https://corsi.unitn.it/it/management/iscriversi/requisiti-di-ammissione,it,2026,admissions,3273,Requisiti di ammissione | Management | UniTrento,
admissions,,,https://corsi.unitn.it/en/physics-master/enrollment/admission-europeans-and-equivalents,en,2026,admissions,5898,Admission and enrollment for Europeans and equivalents | Sito Corsi | UniTrento,
admissions,,,https://www.unitn.it/en/study/enrol/other-enrollments-and-learning-opportunities/single-courses-masters-degrees,en,2026,admissions,4775,Single courses for master’s degrees | UniTrento,
admissions,,,https://corsi.unitn.it/it/ingegneria-informatica-delle-comunicazioni-ed-elettronica/iscriversi/trasferimento-e-ammissione-ad-anni-successivi,it,2026,admissions,2848,"Trasferimento e ammissione ad anni successivi al primo | Ingegneria Informatica, delle Com",
admissions,,,https://corsi.unitn.it/it/matematica-magistrale/iscriversi/ammissione-europei-e-equivalenti,it,2026,admissions,8198,Ammissione e immatricolazione per europei e equivalenti | Matematica - laurea magistrale |,
admissions,,,https://corsi.unitn.it/it/management-and-industrial-systems-engineering/iscriversi/ammissione-europei-e-equivalenti,it,2026,admissions,7969,Ammissione e immatricolazione per europei e equivalenti | laurea magistrale Management and,
course,,,https://corsi.unitn.it/en/quantitative-and-computational-biology/program/overview,en,2026,course,8915,Overview | Sito Corsi | UniTrento,
course,,,https://corsi.unitn.it/it/studi-storici-e-filologico-letterari/studiare/lezioni-programmi-esami,it,2026,course,2935,"Lezioni, programmi, esami | Studi storici e filologico-letterari | UniTrento",
course,,,https://corsi.unitn.it/en/european-master-business-studies/program/official-programme-sheet,en,2026,course,5598,Official Programme Sheet | Sito Corsi | UniTrento,
course,,,https://corsi.unitn.it/it/tecniche-di-laboratorio-biomedico,it,2026,course,1191,Tecniche di laboratorio biomedico | UniTrento,
course,,,https://corsi.unitn.it/it/educazione-professionale/studiare/competenze-linguistiche,it,2026,course,1456,Competenze linguistiche | Educazione professionale | UniTrento,
course,,,https://corsi.unitn.it/it/metodologia-organizzazione-e-valutazione-dei-servizi-sociali/studiare/lezioni-programmi-esami,it,2026,course,5127,"Lezioni, programmi, esami | Metodologia, organizzazione e valutazione dei servizi sociali ",
course,,,https://corsi.unitn.it/en/comparative-european-and-international-legal-studies/graduation/graduation-calendar-and-deadlines,en,2026,course,2683,Graduation calendar and deadlines | Sito Corsi | UniTrento,
course,,,https://corsi.unitn.it/it/informatica-laurea/laurearsi/esame-di-laurea,it,2026,course,1127,Esame di laurea | Informatica - laurea | UniTrento,
scholarship,,,https://borse.unitn.it/borse/dipartimento-di-ingegneria-industriale-avviso-di-selezione-il-conferimento-di-n-1-borsa-di-studio-attivita-di-ricerca-post-laurea-decreto-n,it,2026,scholarship,1258,Dipartimento di Ingegneria Industriale - Avviso di selezione per il conferimento di n. 1 b,
scholarship,,,https://borse.unitn.it/en/borse/department-civil-environmental-and-mechanical-engineering-call-selections-awarding-no-1-research-study-grant-recent-graduates-decree-no-1032026,en,2026,scholarship,1093,"Department of Civil, Environmental and Mechanical Engineering - Call for the selections fo",
scholarship,,,https://borse.unitn.it/borse/dipartimento-cibio-avviso-di-selezione-il-conferimento-di-n-1-borsa-di-studio-attivita-di-ricerca-post-laurea-decreto-n-4272023,it,2026,scholarship,1190,Dipartimento CIBIO - Avviso di selezione per il conferimento di n. 1 borsa di studio per a,
scholarship,,,https://borse.unitn.it/borse/dipartimento-di-ingegneria-industriale-avviso-di-selezione-il-conferimento-di-n-1-borsa-di-studio-attivita-di-ricerca-post-laurea-decreto-n-12,it,2026,scholarship,953,Dipartimento di Ingegneria Industriale - Avviso di selezione per il conferimento di n. 1 b,
scholarship,,,https://borse.unitn.it/assegni-di-tutorato/disi-dipartimento-di-ingegneria-e-scienza-dellinformazione-avviso-di-selezione-lattribuzione-di-assegni-di-tutorato-aa-202627-1,it,2026,scholarship,1259,DISI - Dipartimento di Ingegneria e Scienza dell'Informazione - Avviso di selezione per l',
scholarship,,,https://www.sociologia.unitn.it/en/2162/premi-di-laurea,en,2026,scholarship,1107,Premi di laurea | Dipartimento di Sociologia e Ricerca Sociale,
scholarship,,,https://borse.unitn.it/borse/dipartimento-di-ingegneria-civile-ambientale-e-meccanica-avviso-di-selezione-il-conferimento-di-n-1-borsa-di-studio-attivita-di-ricerca-post-22,it,2026,scholarship,1049,"Dipartimento di Ingegneria Civile, Ambientale e Meccanica - Avviso di selezione per il con",
scholarship,,,https://borse.unitn.it/en/borse/department-civil-environmental-and-mechanical-engineering-call-selections-awarding-no-1-research-study-grant-recent-graduates-decree-no-5752025,en,2026,scholarship,1086,"Department of Civil, Environmental and Mechanical Engineering - Call for the selections fo",
