category,question,gold_answer,acceptable_urls,distractor_urls,format,topics,lang,year,doc_type_raw,text_len,page_title,note
admissions,,,https://iecs.unitn.it/alfresco/download/workspace/SpacesStore/33f0aa59-0c03-4a8e-9e39-204b019ecc91/ICT_PRIMO%20BANDO_34_1_ITA_DEF.pdf,,pdf,admissions,en,2018,pdf,37088,ICT_PRIMO BANDO_34_1_ITA_DEF.pdf,
admissions,,,https://corsi.unitn.it/sites/cds/files/2026-07/ranking-list-eu-candidates-26-27-second.pdf,,pdf,admissions,en,2026,pdf,2646,ranking-list-eu-candidates-26-27-second.pdf,
admissions,,,https://formazioneinsegnanti.unitn.it/alfresco/download/workspace/SpacesStore/ec6980df-2c12-46ad-a980-df2c12d6add7,,pdf,"admissions,course",it,2026,pdf,938,ec6980df-2c12-46ad-a980-df2c12d6add7,
admissions,,,https://www.unitn.it/it/studiare/dopo-lo-studio/esami-di-stato/abilitazione-alle-professioni/ingegnere-sezione,,html,admissions,it,2026,page,8664,Ingegnere - sezione A | UniTrento,
admissions,,,https://www.unitn.it/it/studiare/dopo-lo-studio/esami-di-stato/abilitazione-alle-professioni/assistente-sociale-sezione-b,,html,admissions,it,2026,page,4299,Assistente sociale - sezione B | UniTrento,
admissions,,,https://corsi.unitn.it/en/cellular-and-molecular-biotechnology/study/program-guide-and-documents,,html,"admissions,course",en,2025,course,1026,Program guide and documents | Sito Corsi | UniTrento,
admissions,,,https://webapps.unitn.it/Apply/it/Web/Home/mos,,html,"admissions,internship",it,2026,admissions,5635,Modulistica online studenti,
admissions,,,https://www.unitn.it/it/studiare/iscriversi/valutazione-di-una-carriera-precedente/riconoscimento-crediti,,html,"admissions,course",it,2026,admissions,1021,Riconoscimento crediti | UniTrento,
tuition,,,https://www.unitn.it/sites/default/files/2025-02/DL_TILBURG_TuitionFees_and_StudyPlan.pdf,,pdf,"tuition,course",,2025,pdf,18844,DL_TILBURG_TuitionFees_and_StudyPlan.pdf,
tuition,,,https://www.unitn.it/sites/default/files/2024-12/Trasferimenti_correnti_III_trimestre_2021.pdf,,pdf,tuition,it,2024,pdf,9560,Trasferimenti_correnti_III_trimestre_2021.pdf,
tuition,,,https://www.unitn.it/sites/default/files/2024-12/Trasferimenti_correnti_IV_trimestre_2021.pdf,,pdf,tuition,it,2024,pdf,8871,Trasferimenti_correnti_IV_trimestre_2021.pdf,
tuition,,,https://www.unitn.it/it/studiare/tasse-borse-alloggi/tasse/cittadini-non-europei/lauree-lingua-inglese,,html,"admissions,tuition,scholarship,housing",it,2025,tuition,1524,Importo delle tasse per i corsi di laurea in lingua inglese | UniTrento,
tuition,,,https://www.unitn.it/en/study/fees-scholarships-accommodation/tuition-fees/how-pay-your-fees,,html,"tuition,scholarship,housing",en,2026,tuition,1960,How to pay your fees | UniTrento,
tuition,,,https://www.unitn.it/it/amministrazione-trasparente/altri-contenuti/prevenzione-della-corruzione/relazione-del-responsabile-prevenzione-della-corruzione-e-la-trasparenza,,html,"admissions,tuition,scholarship,housing",it,2026,page,14742,Relazione del responsabile prevenzione della corruzione e la trasparenza | UniTrento,
tuition,,,https://www.unitn.it/en/international/coming-unitrento/double-degree/science-and-technology/eberhard-karls-universitat-tubingen,,html,"admissions,tuition,mobility",en,2026,page,1626,Eberhard Karls Universität Tübingen | UniTrento,
tuition,,,https://www.sis.unitn.it/it/node/2905,,html,tuition,it,2026,page,1464,"Differences, Migration, Integration. Education to Citizenship in the Age of Legal Pluralis",
scholarship,,,https://borse.unitn.it/system/files/allegati/722/05%20decreto%20102%20dd%2014.04%20graduatoria.pdf,,pdf,scholarship,it,2014,pdf,1093,05 decreto 102 dd 14.04 graduatoria.pdf,
scholarship,,,https://borse.unitn.it/system/files/allegati/add/DD%2089_19.03.2026%20Tabella%20B%20seg.pdf,,pdf,"scholarship,course",it,2026,pdf,2023,DD 89_19.03.2026 Tabella B seg.pdf,
scholarship,,,https://borse.unitn.it/system/files/allegati/add/04%20decreto%2064%20dd%2026.09%20tabella%20B.pdf,,pdf,scholarship,it,2026,pdf,3237,04 decreto 64 dd 26.09 tabella B.pdf,
scholarship,,,https://www.sis.unitn.it/it/lavora-con-noi/pta-e-cel/concorsi,,html,"scholarship,services",it,2026,page,6914,Concorsi | SSI - Scuola di Studi Internazionali,
scholarship,,,https://borse.unitn.it/borse/dipartimento-di-ingegneria-e-scienza-dellinformazione-avviso-di-selezione-il-conferimento-di-n-1-borsa-di-studio-attivita-di-ricerca-post-37,,html,scholarship,it,2026,scholarship,1073,Dipartimento di Ingegneria e Scienza dell’Informazione - Avviso di selezione per il confer,
scholarship,,,https://borse.unitn.it/premi/premio-studio-torta-una-tesi-di-laurea-sulla-proprieta-intellettuale-xiv-edizione,,html,"scholarship,graduation",it,2026,scholarship,2177,Premio Studio Torta per una tesi di laurea sulla proprietà intellettuale - XIV edizione | ,
scholarship,,,https://www.unitn.it/it/internazionale/venire-unitrento/venire-unitrento-un-tirocinio/un-tirocinio-comunita-studentesca,,html,"scholarship,mobility,internship",it,2026,page,2371,Venire a UniTrento per tirocinio per la comunità studentesca | UniTrento,
scholarship,,,https://www.unitn.it/it/studiare/tasse-borse-alloggi/tasse/rate-e-scadenze,,html,"admissions,tuition,scholarship,housing",it,2026,tuition,1231,Rate e scadenze | UniTrento,
course,,,https://www.disi.unitn.it/alfresco/download/workspace/SpacesStore/32a546fe-9919-4d8e-9f60-553e09609b6c/Bando%20Challenge%20Organizzazione%20e%20Gestione%20Aziendale%20OGA%202025.pdf,,pdf,course,it,2026,pdf,11336,Bando Challenge Organizzazione e Gestione Aziendale OGA 2025.pdf,
course,,,https://formazioneinsegnanti.unitn.it/alfresco/download/workspace/SpacesStore/9058609c-b43b-4969-9860-9cb43b396914,,pdf,"admissions,course",it,2026,pdf,856,9058609c-b43b-4969-9860-9cb43b396914,
course,,,https://corsi.unitn.it/sites/cds/files/2024-12/regolamento-didattico-lm-management-sostenibilita-turismo-2024.pdf,,pdf,course,it,2024,pdf,41329,regolamento-didattico-lm-management-sostenibilita-turismo-2024.pdf,
course,,,https://www.sociologia.unitn.it/939/qualita,,html,course,it,2026,page,10871,Qualità | Dipartimento di Sociologia e Ricerca Sociale,
