category,question,gold_answer,acceptable_urls,distractor_urls,format,topics,partner_doc,lang,year,doc_type_raw,text_len,page_title,note
admissions,,,https://corsi.unitn.it/sites/cds/files/2026-04/scorrimento-20260429-ammissione-giurisprudenza-sessione1-2026-27.pdf,,pdf,admissions,,it,2026,pdf,1722,scorrimento-20260429-ammissione-giurisprudenza-sessione1-2026-27.pdf,
admissions,,,https://www.unitn.it/sites/default/files/2025-10/44494156Allegato%201_Bando%20Ammissione%20stud.zone%20conflitto%2025.pdf,,pdf,admissions,,it,2025,pdf,15004,44494156Allegato 1_Bando Ammissione stud.zone conflitto 25.pdf,
admissions,,,https://www.economia.unitn.it/alfresco/download/workspace/SpacesStore/b3660c50-f148-4ce0-a60c-50f148bce0a1/Graduatoria%20Erasmus%20DEM%202026-2027.pdf,,pdf,"admissions,mobility",,en,2026,pdf,21243,Graduatoria Erasmus DEM 2026-2027.pdf,
admissions,,,https://www.unitn.it/en/international/coming-unitrento/admission-how-it-works,,html,admissions,,en,2026,admissions,4627,Admission: how it works | UniTrento,
admissions,,,https://corsi.unitn.it/en/economics-and-management/study/admission-requirements-and-ofas,,html,admissions,,en,2026,admissions,4027,Admission requirements and OFAs | Sito Corsi | UniTrento,
admissions,,,https://www.cla.unitn.it/en/708/intensive-courses-enrolment-dates-for-outgoing-international-exchange-students,,html,"admissions,services",,en,2026,service,1698,Intensive courses - enrolment dates for outgoing international exchange students | Languag,
admissions,,,https://corsi.unitn.it/it/studi-storici-e-filologico-letterari/iscriversi/trasferimento-e-ammissione-ad-anni-successivi,,html,admissions,,it,2026,admissions,2657,Trasferimento e ammissione ad anni successivi al primo | Studi storici e filologico-letter,
admissions,,,https://corsi.unitn.it/en/mathematics-master/enrollment/admission-europeans-and-equivalents,,html,admissions,,en,2026,admissions,7789,Admission and enrollment for Europeans and equivalents | Sito Corsi | UniTrento,
tuition,,,https://www.unitn.it/sites/default/files/2024-11/Scholarship%20and%20Tuition%20Fee%20Regulation%20for%20Non-EU%20Students.pdf,,pdf,"tuition,scholarship",,en,2024,pdf,12659,Scholarship and Tuition Fee Regulation for Non-EU Students.pdf,
tuition,,,https://corsi.unitn.it/sites/cds/files/2025-02/certificati-esonero-esercitazioni-l-lingue-moderne.pdf,,pdf,tuition,,it,2025,pdf,3240,certificati-esonero-esercitazioni-l-lingue-moderne.pdf,
tuition,,,https://www.unitn.it/en/study/fees-scholarships-accommodation/tuition-fees/eu-and-related-countries,,html,"tuition,scholarship,housing",,en,2026,tuition,1528,Tuition fees for individuals with citizenship of EU and related countries | UniTrento,
tuition,,,https://www.unitn.it/en/study/fees-scholarships-accommodation/tuition-fees/non-eu-citizens/masters-degrees-english,,html,"tuition,scholarship,housing",,en,2025,tuition,3834,Tuition fees for Master's degrees in English | UniTrento,
tuition,,,https://www.unitn.it/it/studiare/tasse-borse-alloggi/borse-e-premi/borse-di-dottorato/maggiorazione-di-borsa,,html,"tuition,housing",,it,2026,tuition,3777,Maggiorazione di borsa | UniTrento,
